기간	컬럼1	컬럼2	합계	합계	합계	자영업주 및 무급가족	자영업주 및 무급가족	상용근로자	상용근로자	임시 및 일용근로자	임시 및 일용근로자	기타 종사자	기타 종사자
기간	컬럼1	컬럼2	사업체수	총종사자수	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자
2017	합계	합계	822,863	5,119,913	2,271,763	745,952	310,131	3,495,877	1,534,779	673,387	305,775	204,697	121,078
2017	종로구	소계	40,490	268,702	114,602	37,971	15,601	198,146	79,791	21,623	12,413	10,962	6,797
2017	종로구	사직동	3,544	52,489	21,460	2,138	1,052	45,041	17,305	3,100	1,683	2,210	1,420
2017	종로구	삼청동	753	4,507	2,282	623	351	3,501	1,661	339	255	44	15
2017	종로구	부암동	567	4,147	2,010	506	248	2,215	1,138	230	152	1,196	472
2017	종로구	평창동	739	3,547	1,868	643	317	2,142	1,164	253	141	509	246
2017	종로구	무악동	531	1,457	728	514	109	780	522	128	85	35	12
2017	종로구	교남동	347	3,816	2,263	298	127	3,211	1,953	260	169	47	14
2017	종로구	가회동	747	13,681	3,456	659	366	12,371	2,676	363	243	288	171
2017	종로구	종로1.2.3.4가동	15,851	111,270	44,381	14,605	5,731	83,951	31,040	8,241	4,540	4,473	3,070
2017	종로구	종로5·6가동	7,613	23,581	9,090	7,892	3,053	13,747	5,095	1,571	815	371	127
2017	종로구	이화동	1,289	17,511	10,383	1,058	458	14,150	8,527	2,040	1,275	263	123
2017	종로구	창신1동	2,302	6,734	3,480	2,613	1,001	3,125	1,936	751	410	245	133
2017	종로구	창신2동	871	2,332	1,294	1,096	461	513	288	638	489	85	56
2017	종로구	창신3동	264	851	411	284	110	455	217	93	68	19	16
2017	종로구	숭인1동	507	1,433	769	520	205	504	291	350	244	59	29
2017	종로구	숭인2동	1,812	6,657	3,588	1,866	698	3,112	1,707	861	492	818	691
2017	종로구	청운효자동	1,016	5,891	2,748	919	490	4,229	1,787	585	360	158	111
2017	종로구	혜화동	1,737	8,798	4,391	1,737	824	5,099	2,484	1,820	992	142	91
2017	중구	소계	62,936	386,648	174,115	63,962	29,558	280,903	119,343	31,413	18,123	10,370	7,091
2017	중구	소공동	3,918	59,386	25,746	2,341	1,095	51,560	21,301	3,873	2,269	1,612	1,081
2017	중구	회현동	9,425	48,533	22,303	10,135	5,996	35,310	14,144	1,733	1,071	1,355	1,092
2017	중구	명동	6,770	107,800	48,897	4,306	1,839	92,357	39,801	7,817	4,768	3,320	2,489
2017	중구	필동	3,075	23,521	9,916	2,518	828	17,795	7,379	3,165	1,678	43	31
2017	중구	장충동	855	9,592	3,874	628	258	7,997	3,210	926	380	41	26
2017	중구	광희동	9,253	39,108	17,885	9,800	4,186	23,057	9,957	5,166	3,182	1,085	560
2017	중구	을지로동	9,453	32,444	11,442	10,231	3,046	18,540	6,697	2,569	904	1,104	795
2017	중구	신당5동	1,305	4,064	2,195	1,524	646	1,515	858	554	350	471	341
2017	중구	황학동	1,867	5,696	2,437	2,180	875	2,961	1,251	535	299	20	12
2017	중구	중림동	982	6,948	3,339	926	398	5,069	2,456	360	224	593	261
2017	중구	신당동	12,073	29,305	16,799	15,573	8,819	10,934	6,068	2,535	1,837	263	75
2017	중구	다산동	1,396	9,014	3,866	1,207	466	6,896	2,869	781	430	130	101
2017	중구	약수동	841	3,624	1,940	808	376	2,437	1,316	311	200	68	48
2017	중구	청구동	785	4,116	1,638	743	284	2,538	969	688	294	147	91
2017	중구	동화동	938	3,497	1,838	1,042	446	1,937	1,067	400	237	118	88
2017	용산구	소계	20,806	133,260	59,602	17,631	7,420	97,480	42,216	14,481	7,914	3,668	2,052
2017	용산구	후암동	859	5,156	2,917	843	359	4,054	2,384	252	168	7	6
2017	용산구	용산2가동	557	1,899	929	552	216	966	473	381	240	-	-
2017	용산구	남영동	1,714	17,940	8,503	1,347	618	13,017	5,845	1,617	921	1,959	1,119
2017	용산구	원효로2동	1,010	5,783	2,263	754	265	4,266	1,544	638	437	125	17
2017	용산구	효창동	462	2,249	954	369	150	1,373	682	484	105	23	17
2017	용산구	용문동	660	1,783	880	707	339	975	490	99	51	2	-
2017	용산구	이촌1동	813	3,701	2,152	750	414	2,382	1,362	514	338	55	38
2017	용산구	이촌2동	350	827	289	344	112	403	138	74	34	6	5
2017	용산구	이태원1동	1,652	7,557	3,285	1,521	706	4,251	1,701	1,765	873	20	5
2017	용산구	이태원2동	752	3,241	1,369	688	275	2,112	915	418	164	23	15
2017	용산구	서빙고동	385	4,555	1,755	300	121	3,379	1,349	727	225	149	60
2017	용산구	보광동	844	1,925	922	893	406	831	396	150	84	51	36
2017	용산구	청파동	1,881	9,383	5,003	2,044	914	5,109	2,592	1,892	1,297	338	200
2017	용산구	원효로1동	1,815	9,716	3,956	1,453	586	7,409	2,943	709	384	145	43
2017	용산구	한강로동	4,972	40,821	16,356	3,470	1,202	33,972	13,160	3,038	1,812	341	182
2017	용산구	한남동	2,080	16,724	8,069	1,596	737	12,981	6,242	1,723	781	424	309
2017	성동구	소계	27,278	167,308	68,811	23,802	9,213	121,195	48,517	16,185	8,278	6,126	2,803
2017	성동구	왕십리2동	803	2,718	1,538	846	341	1,000	599	587	397	285	201
2017	성동구	마장동	3,282	11,918	4,034	2,986	984	7,754	2,502	1,081	508	97	40
2017	성동구	사근동	1,106	11,748	5,817	1,049	432	8,440	4,024	2,191	1,313	68	48
2017	성동구	행당1동	1,459	9,210	4,728	1,313	601	6,125	3,087	1,654	981	118	59
2017	성동구	행당2동	592	2,046	1,182	611	293	1,201	731	219	144	15	14
2017	성동구	응봉동	379	1,053	546	387	150	548	331	85	48	33	17
2017	성동구	금호1가동	506	1,701	919	534	226	827	474	302	192	38	27
2017	성동구	금호4가동	635	1,894	1,018	699	326	927	541	225	124	43	27
2017	성동구	성수1가1동	1,601	8,806	3,543	1,281	421	6,386	2,629	833	427	306	66
2017	성동구	성수1가2동	2,346	17,723	6,912	1,702	629	14,552	5,687	971	493	498	103
2017	성동구	성수2가1동	2,605	18,333	6,624	2,236	826	14,518	5,135	924	446	655	217
2017	성동구	성수2가3동	5,203	47,180	17,221	3,483	1,073	38,463	14,371	3,440	1,263	1,794	514
2017	성동구	송정동	692	2,393	991	652	202	1,538	716	183	69	20	4
2017	성동구	용답동	2,089	13,476	4,405	1,928	728	9,956	2,995	746	368	846	314
2017	성동구	왕십리도선동	2,079	11,017	5,943	2,145	1,005	5,924	2,889	1,723	972	1,225	1,077
2017	성동구	금호2.3가동	1,034	2,867	1,617	1,142	565	1,199	762	472	244	54	46
2017	성동구	옥수동	867	3,225	1,773	808	411	1,837	1,044	549	289	31	29
2017	광진구	소계	24,688	125,170	56,133	24,460	10,388	69,011	31,720	25,110	10,415	6,589	3,610
2017	광진구	화양동	2,437	15,265	7,427	2,581	1,094	8,494	3,934	3,925	2,255	265	144
2017	광진구	군자동	1,580	9,700	4,556	1,550	644	5,810	2,466	2,032	1,250	308	196
2017	광진구	중곡1동	1,612	6,629	2,852	1,696	689	3,921	1,642	734	334	278	187
2017	광진구	중곡2동	1,622	6,496	3,207	1,581	676	3,684	1,903	963	426	268	202
2017	광진구	중곡3동	1,330	5,380	2,419	1,510	642	2,224	1,143	1,367	571	279	63
2017	광진구	중곡4동	1,563	4,891	2,302	1,804	750	2,341	1,134	626	345	120	73
2017	광진구	능동	783	5,705	3,151	648	284	2,896	1,430	907	539	1,254	898
2017	광진구	구의1동	1,846	7,159	3,146	1,820	816	3,496	1,578	1,296	560	547	192
2017	광진구	구의2동	1,297	5,167	2,347	1,264	520	2,942	1,365	609	320	352	142
2017	광진구	구의3동	2,652	14,918	6,176	2,279	944	9,426	3,952	2,934	1,153	279	127
2017	광진구	광장동	1,419	16,535	5,814	1,142	522	7,659	3,695	5,811	718	1,923	879
2017	광진구	자양1동	1,711	8,543	3,741	1,771	786	5,627	2,442	905	344	240	169
2017	광진구	자양2동	1,487	6,271	2,741	1,450	549	3,936	1,742	690	282	195	168
2017	광진구	자양3동	1,353	6,183	3,362	1,197	522	3,603	1,995	1,258	762	125	83
2017	광진구	자양4동	1,996	6,328	2,892	2,167	950	2,952	1,299	1,053	556	156	87
2017	동대문구	소계	32,411	142,842	66,784	34,022	13,601	82,330	38,307	19,580	10,421	6,910	4,455
2017	동대문구	회기동	997	8,922	4,855	1,098	492	6,856	3,692	916	636	52	35
2017	동대문구	휘경1동	977	3,825	1,924	1,054	457	1,909	898	632	353	230	216
2017	동대문구	휘경2동	1,210	5,204	2,655	1,214	327	3,457	2,002	490	305	43	21
2017	동대문구	청량리동	1,679	8,818	4,020	1,805	766	5,592	2,529	800	373	621	352
2017	동대문구	용신동	5,640	33,713	15,511	5,682	2,185	21,329	9,397	4,716	2,428	1,986	1,501
2017	동대문구	제기동	4,750	12,275	5,415	5,764	2,577	5,387	2,216	837	468	287	154
2017	동대문구	전농1동	2,199	8,492	4,081	2,333	1,046	4,132	1,944	1,715	968	312	123
2017	동대문구	전농2동	894	5,038	2,378	871	365	3,093	1,517	459	261	615	235
2017	동대문구	답십리1동	1,961	7,131	3,304	1,960	658	3,818	1,879	670	368	683	399
2017	동대문구	답십리2동	2,186	7,251	2,864	2,168	737	3,740	1,491	1,009	411	334	225
2017	동대문구	장안1동	4,572	21,603	9,388	4,340	1,571	12,926	5,727	3,169	1,306	1,168	784
2017	동대문구	장안2동	3,164	11,590	6,260	3,297	1,379	5,868	3,217	2,033	1,369	392	295
2017	동대문구	이문1동	1,477	6,698	3,182	1,669	725	2,946	1,309	1,933	1,052	150	96
2017	동대문구	이문2동	705	2,282	947	767	316	1,277	489	201	123	37	19
2017	중랑구	소계	28,045	102,758	49,521	30,843	12,077	49,397	24,230	17,055	10,162	5,463	3,052
2017	중랑구	면목2동	2,035	6,440	3,076	2,409	952	2,591	1,251	1,367	833	73	40
2017	중랑구	면목4동	1,166	3,785	1,729	1,295	527	1,684	697	631	378	175	127
2017	중랑구	면목5동	850	2,865	1,185	1,016	383	1,267	448	523	332	59	22
2017	중랑구	면목7동	1,485	4,426	2,342	1,909	864	1,732	949	723	482	62	47
2017	중랑구	상봉1동	1,148	6,397	2,988	1,080	411	3,641	1,561	681	450	995	566
2017	중랑구	상봉2동	2,102	9,120	4,236	2,210	989	4,943	2,136	1,273	739	694	372
2017	중랑구	중화1동	1,096	3,929	2,284	1,165	465	1,898	1,236	479	302	387	281
2017	중랑구	중화2동	2,175	7,441	3,265	2,456	1,035	3,206	1,473	1,267	659	512	98
2017	중랑구	묵1동	1,513	5,749	3,017	1,513	598	2,680	1,464	1,244	719	312	236
2017	중랑구	묵2동	1,780	4,949	2,369	1,875	638	1,977	984	844	545	253	202
2017	중랑구	망우3동	1,115	3,914	2,034	1,253	478	1,825	1,000	729	494	107	62
2017	중랑구	신내1동	1,998	10,597	4,486	2,003	680	7,222	3,147	1,140	544	232	115
2017	중랑구	신내2동	1,115	5,966	3,125	1,067	443	3,617	1,890	680	441	602	351
2017	중랑구	면목본동	2,511	7,756	4,133	3,102	1,367	2,283	1,431	2,133	1,211	238	124
2017	중랑구	면목3.8동	2,100	7,089	3,576	2,461	1,040	2,808	1,492	1,588	947	232	97
2017	중랑구	망우본동	3,856	12,335	5,676	4,029	1,207	6,023	3,071	1,753	1,086	530	312
2017	성북구	소계	24,039	108,991	55,757	25,493	10,891	62,390	32,242	18,056	10,554	3,052	2,070
2017	성북구	돈암1동	389	1,802	842	386	154	846	547	485	94	85	47
2017	성북구	돈암2동	433	2,294	1,480	429	211	1,659	1,123	193	137	13	9
2017	성북구	안암동	1,456	12,813	7,388	1,336	517	9,981	5,976	1,387	830	109	65
2017	성북구	보문동	1,330	5,229	2,453	1,492	588	2,853	1,307	639	398	245	160
2017	성북구	정릉1동	753	2,064	1,083	816	344	849	533	358	191	41	15
