기간	컬럼1	컬럼2	합계	합계	합계	자영업주 및 무급가족	자영업주 및 무급가족	상용근로자	상용근로자	임시 및 일용근로자	임시 및 일용근로자	기타 종사자	기타 종사자
기간	컬럼1	컬럼2	사업체수	총종사자수	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자
2015	성동구	용답동	2,108	15,296	5,654	1,869	671	11,407	3,995	1,537	661	483	327
2015	성동구	왕십리도선동	1,848	10,617	5,412	1,832	791	5,472	2,804	1,807	773	1,506	1,044
2015	성동구	금호2.3가동	975	2,528	1,412	1,114	554	1,072	618	253	178	89	62
2015	성동구	옥수동	796	2,815	1,559	738	373	1,631	909	366	220	80	57
2015	광진구	소계	24,531	123,689	54,410	24,815	10,414	70,717	30,171	22,919	10,419	5,238	3,406
2015	광진구	화양동	2,379	14,521	7,048	2,595	1,084	7,873	3,871	3,827	2,001	226	92
2015	광진구	군자동	1,595	9,606	4,491	1,614	684	5,283	2,104	2,346	1,433	363	270
2015	광진구	중곡1동	1,623	6,630	2,596	1,692	687	4,013	1,508	703	280	222	121
2015	광진구	중곡2동	1,666	7,315	3,563	1,695	737	3,519	1,837	1,509	617	592	372
2015	광진구	중곡3동	1,344	4,807	2,317	1,522	636	2,335	1,145	835	454	115	82
2015	광진구	중곡4동	1,515	4,786	2,125	1,719	691	2,330	1,049	648	341	89	44
2015	광진구	능동	740	5,680	3,025	643	273	3,275	1,441	735	452	1,027	859
2015	광진구	구의1동	1,894	7,100	2,935	1,857	775	3,766	1,568	1,046	404	431	188
2015	광진구	구의2동	1,240	5,035	2,241	1,236	492	2,974	1,333	662	303	163	113
2015	광진구	구의3동	2,618	17,302	6,020	2,387	990	9,728	3,666	4,826	1,158	361	206
2015	광진구	광장동	1,375	10,901	5,014	1,127	504	7,528	3,349	1,518	717	728	444
2015	광진구	자양1동	1,743	9,053	3,669	1,806	771	6,014	2,171	860	447	373	280
2015	광진구	자양2동	1,496	7,978	3,327	1,516	584	4,822	1,918	1,366	647	274	178
2015	광진구	자양3동	1,310	5,908	3,195	1,186	513	3,531	1,956	1,059	664	132	62
2015	광진구	자양4동	1,993	7,067	2,844	2,220	993	3,726	1,255	979	501	142	95
2015	동대문구	소계	32,994	143,858	66,287	34,743	13,848	83,035	37,495	19,309	10,407	6,771	4,537
2015	동대문구	회기동	964	10,333	5,823	1,087	511	6,915	3,818	2,238	1,456	93	38
2015	동대문구	휘경1동	1,035	4,584	2,329	1,156	503	2,473	1,259	676	336	279	231
2015	동대문구	휘경2동	1,156	5,308	2,739	1,190	343	3,599	2,071	479	314	40	11
2015	동대문구	청량리동	1,727	8,561	3,933	1,915	840	5,488	2,305	568	326	590	462
2015	동대문구	용신동	5,795	32,090	13,794	5,714	2,127	20,663	8,257	3,442	1,735	2,271	1,675
2015	동대문구	제기동	4,820	12,227	5,420	5,760	2,528	5,237	2,194	989	562	241	136
2015	동대문구	전농1동	2,412	8,614	4,349	2,465	1,071	4,465	2,294	1,292	747	392	237
2015	동대문구	전농2동	916	4,819	2,301	908	377	2,587	1,278	1,238	601	86	45
2015	동대문구	답십리1동	2,242	10,292	4,277	2,214	765	6,187	2,695	1,439	583	452	234
2015	동대문구	답십리2동	2,030	6,140	2,468	2,079	695	3,144	1,249	700	417	217	107
2015	동대문구	장안1동	4,530	21,265	9,383	4,461	1,632	12,800	5,546	2,402	1,145	1,602	1,060
2015	동대문구	장안2동	3,146	10,951	5,565	3,335	1,399	5,575	2,872	1,673	1,042	368	252
2015	동대문구	이문1동	1,519	6,688	3,075	1,715	753	2,853	1,247	1,991	1,032	129	43
2015	동대문구	이문2동	702	1,986	831	744	304	1,049	410	182	111	11	6
2015	중랑구	소계	27,287	99,241	47,273	29,872	11,624	48,272	23,002	15,951	9,504	5,146	3,143
2015	중랑구	면목2동	1,991	5,844	2,620	2,312	900	2,343	1,018	1,063	635	126	67
2015	중랑구	면목4동	1,089	3,530	1,579	1,202	493	1,585	622	563	338	180	126
2015	중랑구	면목5동	932	3,204	1,304	1,040	364	1,465	524	590	369	109	47
2015	중랑구	면목7동	1,473	4,048	2,025	1,720	722	1,469	746	774	504	85	53
2015	중랑구	상봉1동	1,116	6,990	3,189	1,064	400	3,934	1,653	852	473	1,140	663
2015	중랑구	상봉2동	2,081	10,834	5,292	2,267	986	6,197	2,739	1,712	1,076	658	491
2015	중랑구	중화1동	1,047	3,483	1,919	1,065	414	1,855	1,118	330	236	233	151
2015	중랑구	중화2동	2,136	6,769	2,928	2,407	1,000	2,750	1,195	1,171	620	441	113
2015	중랑구	묵1동	1,515	5,495	2,814	1,563	646	2,807	1,494	854	508	271	166
2015	중랑구	묵2동	1,775	4,548	2,156	1,853	621	1,912	991	531	338	252	206
2015	중랑구	망우3동	1,089	3,471	1,708	1,245	505	1,468	725	659	421	99	57
2015	중랑구	신내1동	1,777	9,197	4,035	1,807	645	6,325	2,804	780	357	285	229
2015	중랑구	신내2동	1,143	6,095	3,156	1,113	441	3,605	1,863	1,146	697	231	155
2015	중랑구	면목본동	2,405	6,965	3,731	2,887	1,243	2,087	1,199	1,651	1,029	340	260
2015	중랑구	면목3.8동	2,828	8,069	3,552	3,122	983	2,837	1,423	1,875	1,046	235	100
2015	중랑구	망우본동	2,890	10,699	5,265	3,205	1,261	5,633	2,888	1,400	857	461	259
2015	성북구	소계	24,690	113,893	56,482	26,478	11,180	63,952	31,440	19,914	11,699	3,549	2,163
2015	성북구	돈암1동	387	1,764	896	370	147	933	562	328	104	133	83
2015	성북구	돈암2동	369	1,917	1,286	353	176	1,412	982	111	87	41	41
2015	성북구	안암동	1,454	14,300	6,735	1,359	532	9,621	4,645	3,092	1,437	228	121
2015	성북구	보문동	1,442	5,350	2,379	1,586	523	2,986	1,371	544	314	234	171
2015	성북구	정릉1동	755	2,012	994	777	312	933	551	273	119	29	12
2015	성북구	정릉2동	898	2,991	1,368	977	363	1,491	810	466	182	57	13
2015	성북구	정릉3동	687	4,366	1,919	715	304	2,608	1,037	966	523	77	55
