연도,구,입주량,수요량,누적,차이 
2016,구로구,733,2235,-2638,-1502
2017,구로구,773,2148,-4013,-1375
2018,구로구,1635,2079,-4457,-444
2019,구로구,4131,2058,-2384,2073
2020,구로구,780,2050,-3654,-1270
2021,구로구,0,2045,-5699,-2045
2022,구로구,0,2042,-7741,-2042
2013,금천구,454,1339,-885,-885
2014,금천구,2142,1314,-57,828
2015,금천구,77,1280,-1260,-1203
2016,금천구,1893,1260,-627,633
2017,금천구,1068,1230,-789,-162
2018,금천구,1866,1202,-125,664
2019,금천구,568,1181,-738,-613
2020,금천구,68,1176,-1846,-1108
2021,금천구,0,1174,-3020,-1174
2022,금천구,0,1171,-4191,-1171
2013,영등포구,1833,2147,-314,-314
2014,영등포구,1965,2107,-456,-142
2015,영등포구,1590,2051,-917,-461
2016,영등포구,624,1983,-2276,-1359
2017,영등포구,4542,1927,339,2615
2018,영등포구,1125,1890,-426,-765
2019,영등포구,1056,1864,-1234,-808
2020,영등포구,6670,1857,3579,4813
2021,영등포구,308,1853,2034,-1545
2022,영등포구,0,1849,185,-1849
2013,동작구,2043,2282,-239,-239
2014,동작구,352,2246,-2133,-1894
2015,동작구,680,2171,-3624,-1491
2016,동작구,1705,2146,-4065,-441
2017,동작구,298,2072,-5839,-1774
2018,동작구,3455,2036,-4420,1419
2019,동작구,22,2012,-6410,-1990
2020,동작구,977,2004,-7437,-1027
2021,동작구,1473,2000,-7964,-527
2022,동작구,640,1996,-9320,-1356
2013,관악구,999,2877,-1878,-1878
2014,관악구,798,2829,-3909,-2031
2015,관악구,429,2762,-6242,-2333
2016,관악구,707,2712,-8247,-2005
2017,관악구,554,2632,-10325,-2078
2018,관악구,437,2580,-12468,-2143
2019,관악구,1694,2541,-13315,-847
2020,관악구,430,2530,-15415,-2100
2021,관악구,0,2525,-17940,-2525
2022,관악구,0,2520,-20460,-2520
2013,서초구,5219,2454,2765,2765
2014,서초구,3274,2479,3560,795
2015,서초구,2336,2421,3475,-85
2016,서초구,2987,2393,4069,594
2017,서초구,1328,2307,3090,-979
2018,서초구,3973,2230,4833,1743
2019,서초구,1091,2181,3743,-1090
2020,서초구,2448,2172,4019,276
2021,서초구,2719,2168,4570,551
2022,서초구,0,2163,2407,-2163
2013,강남구,2573,3130,-557,-557
2014,강남구,6454,3187,2710,3267
2015,강남구,3855,3124,3441,731
2016,강남구,1799,3035,2205,-1236
2017,강남구,513,2909,-191,-2396
2018,강남구,1523,2788,-1456,-1265
2019,강남구,3526,2753,-683,773
2020,강남구,2395,2742,-1030,-347
2021,강남구,2659,2736,-1107,-77
2022,강남구,499,2731,-3339,-2232
2013,송파구,3478,3713,-235,-235
2014,송파구,92,3664,-3807,-3572
2015,송파구,1319,3578,-6066,-2259
2016,송파구,6844,3520,-2742,3324
2017,송파구,3164,3475,-3053,-311
2018,송파구,11034,3426,4555,7608
2019,송파구,1115,3429,2241,-2314
2020,송파구,1199,3414,26,-2215
2021,송파구,542,3407,-2839,-2865
2022,송파구,1945,3400,-4294,-1455
2013,강동구,818,2685,-1867,-1867
2014,,1060,2627,-3434,-1567
2015,,746,2485,-5173,-1739
2016,,4842,2377,-2708,2465
2017,,1615,2281,-3374,-666
2018,,1443,2198,-4129,-755
2019,,11745,2157,5459,9588
2020,,6411,2148,9722,4263
2021,,1824,2143,9403,-319
2022,,0,2039,7364,-2039
