기간	자치구	동	사업체수	총종사자수	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수
2014	성동구	마장동	3,175	11,488	3,863	2,932	928	7,560	2,495	836	389	160	51
2014	성동구	사근동	1,083	9,933	5,254	1,056	436	5,723	2,762	3,029	2,011	125	45
2014	성동구	행당1동	1,385	8,618	4,048	1,358	641	5,387	2,337	1,639	938	234	132
2014	성동구	행당2동	571	1,996	1,176	563	257	1,167	736	266	183	-	-
2014	성동구	응봉동	395	1,134	587	435	174	525	317	80	42	94	54
2014	성동구	금호1가동	551	1,719	896	553	222	949	541	166	99	51	34
2014	성동구	금호4가동	642	2,037	1,002	663	303	1,120	507	173	118	81	74
2014	성동구	성수1가1동	1,510	7,040	2,457	1,323	409	4,603	1,622	628	311	486	115
2014	성동구	성수1가2동	2,035	15,600	6,295	1,537	528	12,189	4,865	1,090	523	784	379
2014	성동구	성수2가1동	2,417	15,413	5,331	2,093	761	11,755	3,913	763	361	802	296
2014	성동구	성수2가3동	4,789	44,694	16,543	3,195	964	38,635	14,274	2,081	1,103	783	202
2014	성동구	송정동	695	2,426	979	711	236	1,585	674	105	69	25	-
2014	성동구	용답동	2,135	14,846	5,473	1,973	690	10,886	3,889	1,487	632	500	262
2014	성동구	왕십리도선동	1,730	8,608	4,182	1,688	715	4,695	2,236	1,553	740	672	491
2014	성동구	금호2.3가동	1,016	2,273	1,228	1,102	510	931	575	193	118	47	25
2014	성동구	옥수동	809	2,865	1,507	731	349	1,744	948	350	190	40	20
2014	광진구	소계	24,760	117,420	51,808	25,076	10,609	66,057	29,518	22,972	9,720	3,315	1,961
2014	광진구	화양동	2,510	14,547	6,968	2,694	1,130	7,829	3,892	3,849	1,850	175	96
2014	광진구	군자동	1,566	7,756	3,381	1,527	645	4,699	1,968	1,426	692	104	76
2014	광진구	중곡1동	1,634	7,185	3,064	1,825	776	4,247	1,701	872	460	241	127
2014	광진구	중곡2동	1,726	6,100	3,126	1,751	747	2,795	1,418	1,253	767	301	194
2014	광진구	중곡3동	1,346	4,649	2,206	1,550	647	1,854	999	968	464	277	96
2014	광진구	중곡4동	1,541	4,769	2,328	1,830	775	2,193	1,113	624	347	122	93
2014	광진구	능동	744	4,774	2,298	587	250	3,057	1,253	675	457	455	338
2014	광진구	구의1동	1,871	6,005	2,668	1,860	793	2,923	1,324	882	396	340	155
2014	광진구	구의2동	1,287	5,145	2,217	1,367	560	3,183	1,323	563	313	32	21
2014	광진구	구의3동	2,576	18,683	6,036	2,272	932	9,590	3,793	6,656	1,206	165	105
2014	광진구	광장동	1,440	11,022	4,987	1,211	562	8,117	3,628	1,278	628	416	169
2014	광진구	자양1동	1,652	6,772	3,157	1,719	760	4,142	1,792	672	399	239	206
2014	광진구	자양2동	1,488	7,178	3,097	1,467	544	4,136	1,772	1,355	640	220	141
2014	광진구	자양3동	1,299	6,077	3,250	1,190	503	3,557	1,920	1,192	748	138	79
2014	광진구	자양4동	2,080	6,758	3,025	2,226	985	3,735	1,622	707	353	90	65
2014	동대문구	소계	32,878	137,079	62,555	34,681	13,817	77,590	34,545	18,230	9,563	6,578	4,630
2014	동대문구	회기동	1,004	9,582	5,166	1,181	554	6,293	3,289	2,041	1,276	67	47
2014	동대문구	휘경1동	1,055	4,061	2,221	1,156	500	2,083	1,147	556	351	266	223
2014	동대문구	휘경2동	1,142	4,772	2,424	1,198	354	3,022	1,722	463	308	89	40
2014	동대문구	청량리동	1,746	8,159	3,761	1,976	872	5,040	2,067	652	367	491	455
2014	동대문구	용신동	5,776	30,562	12,992	5,801	2,216	18,776	7,434	3,574	1,587	2,411	1,755
2014	동대문구	제기동	4,697	12,105	5,572	5,741	2,581	4,912	2,106	765	441	687	444
2014	동대문구	전농1동	2,339	7,903	3,937	2,349	992	3,914	1,981	1,538	903	102	61
2014	동대문구	전농2동	861	4,459	2,198	843	357	2,663	1,322	893	489	60	30
2014	동대문구	답십리1동	2,222	9,932	3,938	2,215	745	5,922	2,488	1,299	465	496	240
2014	동대문구	답십리2동	2,061	5,854	2,255	2,077	670	3,069	1,132	546	342	162	111
2014	동대문구	장안1동	4,535	21,072	9,307	4,296	1,541	13,171	5,650	2,210	1,051	1,395	1,065
2014	동대문구	장안2동	3,210	10,658	5,374	3,353	1,356	5,322	2,696	1,818	1,199	165	123
2014	동대문구	이문1동	1,496	5,870	2,513	1,693	732	2,416	1,081	1,716	681	45	19
2014	동대문구	이문2동	734	2,090	897	802	347	987	430	159	103	142	17
2014	중랑구	소계	28,047	99,712	47,448	30,926	12,234	46,540	21,905	16,673	10,215	5,573	3,094
2014	중랑구	면목2동	2,065	6,127	2,691	2,311	895	2,203	963	1,279	788	334	45
2014	중랑구	면목4동	1,114	3,630	1,706	1,290	548	1,593	639	639	433	108	86
2014	중랑구	면목5동	1,031	3,557	1,444	1,193	451	1,699	580	538	385	127	28
2014	중랑구	면목7동	1,485	4,227	2,227	1,853	823	1,434	745	907	639	33	20
2014	중랑구	상봉1동	1,145	6,728	3,093	1,105	441	3,686	1,494	803	459	1,134	699
2014	중랑구	상봉2동	2,147	10,529	5,004	2,421	1,068	5,357	2,222	1,842	1,127	909	587
2014	중랑구	중화1동	1,108	3,820	2,040	1,228	494	1,825	1,087	466	265	301	194
2014	중랑구	중화2동	2,262	7,197	3,278	2,569	1,112	2,926	1,362	1,184	744	518	60
2014	중랑구	묵1동	1,536	5,806	2,956	1,525	621	2,789	1,600	1,217	554	275	181
2014	중랑구	묵2동	1,823	4,697	2,249	1,932	670	1,983	1,035	522	344	260	200
2014	중랑구	망우3동	1,082	3,486	1,665	1,200	478	1,700	813	541	344	45	30
2014	중랑구	신내1동	1,723	8,358	3,519	1,728	611	5,383	2,148	990	571	257	189
2014	중랑구	신내2동	1,133	5,374	2,815	1,111	448	3,246	1,656	910	617	107	94
2014	중랑구	면목본동	2,516	7,060	3,778	2,905	1,232	2,100	1,047	1,607	1,107	448	392
2014	중랑구	면목3.8동	2,937	7,977	3,495	3,296	1,019	2,936	1,551	1,577	868	168	57
2014	중랑구	망우본동	2,940	11,139	5,488	3,259	1,323	5,680	2,963	1,651	970	549	232
2014	성북구	소계	25,104	107,496	52,993	26,901	11,314	58,662	28,597	19,289	11,453	2,644	1,629
2014	성북구	돈암1동	399	1,514	843	384	140	934	586	126	86	70	31
2014	성북구	돈암2동	377	2,040	1,224	361	175	1,478	916	171	105	30	28
2014	성북구	안암동	1,384	12,385	5,485	1,312	523	8,503	3,672	2,514	1,249	56	41
2014	성북구	보문동	1,296	5,098	2,433	1,363	498	2,702	1,291	838	488	195	156
2014	성북구	정릉1동	795	1,940	973	856	341	799	479	261	144	24	9
2014	성북구	정릉2동	962	2,987	1,372	1,019	384	1,475	743	353	205	140	40
2014	성북구	정릉3동	717	4,398	1,954	744	303	2,336	939	1,284	684	34	28
2014	성북구	정릉4동	882	3,917	1,541	957	386	2,566	914	383	234	11	7
2014	성북구	길음1동	1,128	3,816	2,318	1,282	620	1,838	1,175	637	465	59	58
2014	성북구	길음2동	1,218	4,884	2,932	1,159	612	2,926	1,724	504	338	295	258
2014	성북구	월곡1동	1,342	5,280	2,393	1,430	578	3,051	1,397	654	347	145	71
2014	성북구	월곡2동	1,574	7,511	3,992	1,711	695	4,087	2,097	1,660	1,153	53	47
2014	성북구	장위1동	1,124	2,740	1,487	1,279	505	887	544	502	390	72	48
2014	성북구	장위2동	1,663	4,920	2,345	2,067	879	1,744	836	1,076	613	33	17
2014	성북구	장위3동	1,141	4,335	1,809	1,281	490	2,178	778	667	454	209	87
2014	성북구	성북동	1,005	5,014	2,549	883	394	3,503	1,759	527	337	101	59
2014	성북구	삼선동	1,893	9,395	4,508	1,945	880	5,398	2,436	1,612	919	440	273
2014	성북구	동선동	1,915	9,677	5,323	2,032	923	5,046	2,742	2,371	1,492	228	166
2014	성북구	종암동	2,054	7,260	3,670	2,325	991	3,894	2,069	978	591	63	19
2014	성북구	석관동	2,235	8,385	3,842	2,511	997	3,317	1,500	2,171	1,159	386	186
2014	강북구	소계	19,223	70,919	36,634	21,298	9,027	33,142	16,540	10,875	6,525	5,604	4,542
2014	강북구	번1동	1,737	9,030	5,326	1,799	792	3,823	1,917	1,199	767	2,209	1,850
2014	강북구	번2동	677	3,325	1,271	653	200	2,319	777	183	146	170	148
2014	강북구	번3동	887	2,621	1,114	908	260	1,355	612	262	172	96	70
2014	강북구	수유1동	1,577	5,448	2,879	1,842	847	2,725	1,411	631	425	250	196
2014	강북구	수유2동	1,373	4,814	2,612	1,540	652	2,128	1,248	833	517	313	195
2014	강북구	수유3동	2,323	8,482	4,434	2,632	1,204	3,820	1,773	1,185	737	845	720
2014	강북구	삼양동	1,282	3,599	1,962	1,456	626	1,503	878	597	440	43	18
2014	강북구	미아동	1,696	6,533	3,341	1,865	780	2,496	1,284	1,594	773	578	504
2014	강북구	송중동	2,018	7,991	4,277	2,268	945	3,419	1,968	1,774	971	530	393
2014	강북구	송천동	2,283	7,288	3,916	2,538	1,124	3,245	1,755	1,149	734	356	303
2014	강북구	삼각산동	750	2,038	1,235	828	371	1,057	763	152	100	1	1
2014	강북구	우이동	1,002	3,703	1,360	1,188	539	2,060	584	359	200	96	37
2014	강북구	인수동	1,618	6,047	2,907	1,781	687	3,192	1,570	957	543	117	107
2014	도봉구	소계	18,584	66,137	31,072	19,442	7,444	36,755	17,586	7,376	4,465	2,564	1,577
2014	도봉구	쌍문1동	946	3,994	2,151	984	371	2,294	1,322	680	430	36	28
2014	도봉구	쌍문2동	1,306	4,728	2,418	1,289	538	2,684	1,334	566	374	189	172
2014	도봉구	쌍문3동	933	3,760	1,839	1,013	424	2,201	1,143	476	238	70	34
2014	도봉구	쌍문4동	619	1,761	965	657	283	910	570	185	105	9	7
2014	도봉구	방학1동	2,350	10,277	4,745	2,473	1,093	6,579	2,815	1,023	704	202	133
2014	도봉구	방학2동	1,240	2,637	1,374	1,309	514	831	511	469	321	28	28
2014	도봉구	방학3동	903	3,061	1,469	933	317	1,884	989	174	118	70	45
2014	도봉구	창1동	1,401	3,564	1,833	1,449	468	1,579	948	296	180	240	237
2014	도봉구	창2동	1,370	4,513	2,085	1,510	574	2,437	1,158	410	254	156	99
2014	도봉구	창3동	964	2,122	1,125	1,142	473	730	468	213	149	37	35
2014	도봉구	창4동	1,224	6,835	3,249	1,108	426	4,173	1,868	1,029	512	525	443
2014	도봉구	창5동	2,122	6,655	2,906	2,090	569	3,656	1,798	764	416	145	123
2014	도봉구	도봉1동	1,721	5,669	2,238	1,963	810	2,998	1,018	635	380	73	30
2014	도봉구	도봉2동	1,485	6,561	2,675	1,522	584	3,799	1,644	456	284	784	163
2014	노원구	소계	26,081	109,272	55,738	26,363	10,451	63,725	32,587	13,452	8,205	5,732	4,495
2014	노원구	월계1동	1,420	5,203	2,077	1,508	602	2,990	1,059	685	400	20	16
2014	노원구	월계2동	1,093	3,753	1,675	1,092	318	2,160	1,052	477	284	24	21
2014	노원구	월계3동	962	3,700	1,856	934	311	2,467	1,280	161	139	138	126
2014	노원구	공릉2동	1,910	11,451	5,407	1,915	768	7,307	3,425	2,220	1,208	9	6
2014	노원구	하계1동	930	6,964	3,458	877	401	5,120	2,411	782	532	185	114
2014	노원구	하계2동	390	1,038	563	398	136	553	371	53	27	34	29
2014	노원구	중계본동	1,190	4,974	2,479	1,179	500	2,481	1,222	832	464	482	293
2014	노원구	중계1동	929	4,169	2,288	931	399	2,251	1,294	668	392	319	203
2014	노원구	중계4동	1,026	3,605	2,059	1,064	489	2,033	1,191	433	316	75	63
2014	노원구	상계1동	2,919	9,736	3,746	2,939	790	5,513	2,153	907	555	377	248
2014	노원구	상계2동	2,530	9,395	5,407	2,684	1,277	4,471	2,777	1,753	993	487	360
2014	노원구	상계5동	1,377	3,383	1,857	1,420	628	1,348	815	470	295	145	119
2014	노원구	상계8동	597	1,952	1,212	646	278	997	701	302	227	7	6
2014	노원구	상계9동	719	2,352	1,263	725	277	1,378	821	222	138	27	27
2014	노원구	상계10동	490	2,125	899	468	168	1,569	677	23	12	65	42
2014	노원구	상계3.4동	1,616	4,327	1,732	1,673	670	2,221	805	361	225	72	32
2014	노원구	상계6.7동	1,919	14,958	9,340	1,802	741	8,913	5,207	1,248	793	2,995	2,599
2014	노원구	중계2.3동	1,341	5,277	3,134	1,372	640	3,122	1,967	761	509	22	18
2014	노원구	공릉1동	2,723	10,910	5,286	2,736	1,058	6,831	3,359	1,094	696	249	173
2014	은평구	소계	24,269	84,489	43,534	25,484	10,903	44,007	23,096	10,477	6,011	4,521	3,524
2014	은평구	녹번동	1,783	8,681	3,997	1,679	632	5,758	2,765	887	341	357	259
2014	은평구	불광1동	1,692	6,550	3,914	1,706	780	3,082	1,777	624	393	1,138	964
2014	은평구	갈현1동	1,400	5,083	2,908	1,593	722	2,452	1,410	678	455	360	321
2014	은평구	갈현2동	1,550	5,861	3,336	1,647	745	2,478	1,400	1,301	862	435	329
2014	은평구	구산동	1,194	5,328	2,843	1,197	458	3,325	1,915	714	402	92	68
2014	은평구	대조동	2,573	7,530	4,213	2,702	1,300	3,373	1,942	1,104	707	351	264
2014	은평구	응암1동	1,710	7,436	3,882	1,737	800	4,310	2,421	1,059	371	330	290
2014	은평구	응암2동	855	2,147	1,065	961	394	1,034	576	129	79	23	16
2014	은평구	신사1동	1,313	3,689	1,796	1,342	551	1,534	778	763	426	50	41
2014	은평구	신사2동	1,549	3,212	1,035	1,548	307	1,516	628	120	78	28	22
2014	은평구	증산동	1,146	4,036	1,594	1,235	503	2,196	763	447	244	158	84
2014	은평구	수색동	806	2,735	1,080	859	371	1,687	606	139	93	50	10
2014	은평구	진관동	1,093	5,712	2,758	1,075	526	3,836	1,801	663	367	138	64
2014	은평구	불광2동	1,287	4,045	2,242	1,435	702	1,888	1,049	442	295	280	196
2014	은평구	응암3동	1,807	4,992	2,846	2,076	973	2,068	1,244	563	379	285	250
2014	은평구	역촌동	2,511	7,452	4,025	2,692	1,139	3,470	2,021	844	519	446	346
2014	서대문구	소계	19,454	102,163	50,339	19,755	8,568	62,579	30,625	15,886	8,737	3,943	2,409
