기간	자치구	동	사업체수	총종사자수	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수
2014	금천구	가산동	12,516	145,604	49,244	5,839	2,048	124,892	40,275	11,629	5,194	3,244	1,727
2014	금천구	독산1동	3,676	22,377	8,285	3,269	1,174	15,790	5,219	2,067	1,100	1,251	792
2014	금천구	독산2동	1,209	3,158	1,560	1,241	477	1,281	703	490	251	146	129
2014	금천구	독산3동	2,207	8,007	3,617	2,305	969	4,384	1,921	937	454	381	273
2014	금천구	독산4동	1,036	3,430	1,799	1,047	468	1,644	814	551	379	188	138
2014	금천구	시흥1동	3,008	14,157	6,720	3,128	1,395	9,000	4,151	1,819	1,002	210	172
2014	금천구	시흥2동	541	1,675	992	524	176	905	629	142	115	104	72
2014	금천구	시흥3동	3,318	10,323	2,616	2,876	622	6,160	1,785	1,199	204	88	5
2014	금천구	시흥4동	889	1,990	1,123	950	395	779	522	197	154	64	52
2014	금천구	시흥5동	1,157	3,407	1,715	1,223	547	1,750	844	328	242	106	82
2014	영등포구	소계	44,099	343,943	137,750	36,807	14,159	266,091	102,228	29,764	15,392	11,281	5,971
2014	영등포구	여의동	8,451	148,392	54,303	4,300	1,976	131,535	45,837	10,017	5,395	2,540	1,095
2014	영등포구	당산1동	3,266	16,705	7,038	2,844	1,110	11,213	4,717	1,923	670	725	541
2014	영등포구	당산2동	2,255	19,037	8,816	1,770	790	13,734	5,909	2,031	1,111	1,502	1,006
2014	영등포구	양평1동	3,395	21,577	8,049	2,759	576	14,999	5,969	3,123	1,278	696	226
2014	영등포구	양평2동	2,175	18,189	6,553	1,449	534	15,041	5,490	1,505	494	194	35
2014	영등포구	신길1동	1,181	5,642	2,474	1,297	629	4,004	1,607	327	235	14	3
2014	영등포구	신길3동	996	2,646	1,267	1,103	507	1,221	597	297	151	25	12
2014	영등포구	신길4동	551	1,775	941	552	218	765	373	204	167	254	183
2014	영등포구	신길5동	707	2,442	1,042	731	262	1,486	642	152	98	73	40
2014	영등포구	신길6동	1,294	4,417	2,256	1,331	570	2,512	1,331	441	245	133	110
2014	영등포구	신길7동	597	3,247	1,387	556	241	2,206	822	293	161	192	163
2014	영등포구	대림1동	1,176	4,219	2,446	1,221	578	2,635	1,634	321	198	42	36
2014	영등포구	대림2동	1,364	4,491	2,340	1,513	734	2,534	1,375	392	207	52	24
2014	영등포구	대림3동	2,858	10,566	4,275	2,747	839	6,824	2,837	747	448	248	151
2014	영등포구	영등포본동	1,364	5,027	2,497	1,316	594	2,824	1,343	787	484	100	76
2014	영등포구	영등포동	6,319	34,416	15,735	6,068	2,454	20,656	9,128	4,597	2,623	3,095	1,530
2014	영등포구	도림동	1,021	2,924	1,244	1,014	411	1,374	591	268	165	268	77
2014	영등포구	문래동	5,129	38,231	15,087	4,236	1,136	30,528	12,026	2,339	1,262	1,128	663
2014	동작구	소계	20,160	105,146	49,976	21,787	9,990	60,860	28,799	15,524	7,454	6,975	3,733
2014	동작구	노량진2동	962	5,049	2,432	1,069	514	3,209	1,434	413	266	358	218
2014	동작구	상도1동	1,723	7,431	3,690	1,763	775	4,103	2,028	1,402	768	163	119
2014	동작구	상도2동	1,302	4,580	2,379	1,368	634	2,345	1,179	788	502	79	64
2014	동작구	상도3동	955	2,611	1,387	1,091	485	1,216	705	237	147	67	50
2014	동작구	상도4동	996	2,903	1,641	1,099	461	1,409	890	335	231	60	59
2014	동작구	사당1동	1,875	9,718	4,912	1,814	783	4,835	2,255	1,255	699	1,814	1,175
2014	동작구	사당3동	1,005	4,121	1,989	978	429	1,920	892	1,129	598	94	70
2014	동작구	사당4동	640	1,613	843	711	315	729	425	172	102	1	1
2014	동작구	사당5동	507	1,533	762	494	191	795	417	224	153	20	1
2014	동작구	대방동	1,655	12,250	4,706	1,544	674	7,049	3,047	3,169	797	488	188
2014	동작구	신대방1동	1,094	4,655	2,141	1,161	558	2,625	1,088	446	214	423	281
2014	동작구	신대방2동	1,262	22,408	9,930	1,097	512	18,309	7,786	2,183	1,038	819	594
2014	동작구	흑석동	1,643	9,540	4,988	1,718	843	4,792	2,821	1,080	658	1,950	666
2014	동작구	노량진1동	2,957	11,480	5,435	4,217	2,039	4,820	2,407	1,919	820	524	169
2014	동작구	사당2동	1,584	5,254	2,741	1,663	777	2,704	1,425	772	461	115	78
2014	관악구	소계	26,396	112,223	54,045	27,413	11,721	59,279	28,748	19,518	9,939	6,013	3,637
2014	관악구	보라매동	1,409	6,374	3,164	1,327	600	3,945	1,879	757	539	345	146
2014	관악구	청림동	426	1,016	568	468	225	407	264	65	42	76	37
2014	관악구	행운동	1,432	5,896	3,162	1,551	726	3,032	1,615	1,026	594	287	227
2014	관악구	낙성대동	1,269	8,248	3,794	1,204	530	5,529	2,458	1,044	503	471	303
2014	관악구	중앙동	1,436	5,445	2,533	1,417	425	2,338	1,358	708	440	982	310
2014	관악구	인헌동	1,102	4,425	2,387	1,177	524	2,524	1,432	623	375	101	56
2014	관악구	남현동	902	5,656	2,622	805	363	3,855	1,654	671	335	325	270
2014	관악구	서원동	1,323	7,099	3,885	1,301	572	3,601	1,987	1,738	981	459	345
2014	관악구	신원동	851	2,253	1,200	1,012	466	742	431	265	151	234	152
2014	관악구	서림동	863	2,630	1,053	934	361	1,277	477	336	165	83	50
2014	관악구	신사동	1,425	4,487	2,321	1,675	763	1,875	939	659	388	278	231
2014	관악구	신림동	1,709	5,630	2,860	1,844	893	2,356	1,166	1,170	655	260	146
2014	관악구	난향동	391	2,075	1,066	409	153	1,476	803	190	110	-	-
2014	관악구	조원동	2,086	6,668	3,065	2,220	880	2,965	1,236	1,137	671	346	278
2014	관악구	대학동	1,662	12,397	5,495	1,721	764	8,087	3,365	2,429	1,287	160	79
2014	관악구	은천동	1,639	7,260	3,462	1,594	670	3,390	1,628	1,778	781	498	383
2014	관악구	성현동	845	2,520	1,403	876	343	1,267	823	343	210	34	27
2014	관악구	청룡동	1,974	11,363	4,547	1,926	889	5,625	2,407	3,331	940	481	311
2014	관악구	난곡동	949	2,320	1,186	1,062	392	924	553	282	197	52	44
2014	관악구	삼성동	1,077	2,380	1,221	1,133	460	1,004	619	175	84	68	58
2014	관악구	미성동	1,626	6,081	3,051	1,757	722	3,060	1,654	791	491	473	184
2014	서초구	소계	45,932	390,662	153,297	32,456	14,011	300,511	117,805	46,106	16,009	11,589	5,472
2014	서초구	서초1동	3,524	29,187	10,742	2,194	817	21,952	8,430	4,058	1,151	983	344
2014	서초구	서초2동	4,516	46,577	16,619	2,448	1,058	39,484	13,388	2,845	1,245	1,800	928
2014	서초구	서초3동	7,274	69,214	27,824	4,446	1,545	56,556	23,200	5,513	1,946	2,699	1,133
2014	서초구	서초4동	2,936	25,476	11,763	2,199	846	19,970	9,192	2,669	1,430	638	295
2014	서초구	잠원동	2,311	16,048	7,139	1,685	748	12,543	5,260	1,500	918	320	213
2014	서초구	반포본동	664	2,312	1,261	676	402	1,274	607	293	203	69	49
2014	서초구	반포1동	1,638	9,097	4,040	1,339	632	6,516	2,756	760	445	482	207
2014	서초구	반포2동	449	2,246	1,144	384	206	1,820	918	42	20	-	-
2014	서초구	반포3동	958	6,528	3,603	817	417	5,012	2,701	528	341	171	144
2014	서초구	반포4동	3,596	27,920	14,222	3,238	1,832	20,588	10,218	3,726	2,036	368	136
2014	서초구	방배본동	1,631	10,715	5,404	1,382	638	7,423	3,330	1,719	1,307	191	129
2014	서초구	방배1동	1,730	12,716	4,640	1,315	573	7,960	3,457	3,292	512	149	98
2014	서초구	방배2동	1,924	17,830	6,213	1,486	633	10,127	3,900	4,143	574	2,074	1,106
2014	서초구	방배3동	1,181	11,263	3,752	848	379	8,161	2,856	2,100	470	154	47
2014	서초구	방배4동	2,338	14,451	5,992	1,776	762	10,431	4,613	1,829	392	415	225
2014	서초구	양재1동	3,481	36,069	11,741	2,189	902	26,295	9,277	6,980	1,277	605	285
2014	서초구	양재2동	5,271	47,268	15,342	3,491	1,413	39,579	12,277	3,738	1,524	460	128
2014	서초구	내곡동	510	5,745	1,856	543	208	4,820	1,425	371	218	11	5
2014	강남구	소계	70,262	645,060	275,755	45,779	19,556	515,919	218,470	57,234	24,973	26,128	12,756
2014	강남구	신사동	4,750	28,891	15,174	3,572	1,576	21,514	11,378	2,967	1,679	838	541
2014	강남구	논현1동	5,569	39,621	17,508	3,543	1,451	32,928	14,523	2,197	1,081	953	453
2014	강남구	논현2동	5,735	58,376	24,060	3,305	1,330	47,994	20,146	5,984	1,829	1,093	755
2014	강남구	삼성1동	3,816	56,222	21,914	1,883	882	49,511	18,766	3,728	1,927	1,100	339
2014	강남구	삼성2동	3,574	33,171	13,410	2,099	915	26,191	10,059	2,688	1,320	2,193	1,116
2014	강남구	대치1동	990	6,993	3,827	871	425	4,235	2,401	764	423	1,123	578
2014	강남구	대치4동	3,478	28,568	11,919	2,588	1,154	21,621	8,029	2,478	1,574	1,881	1,162
2014	강남구	역삼1동	14,218	147,358	59,842	7,818	3,056	118,620	47,494	11,934	5,268	8,986	4,024
2014	강남구	역삼2동	3,433	35,014	14,489	2,031	921	27,036	11,022	4,197	1,653	1,750	893
2014	강남구	도곡1동	1,619	15,962	6,546	1,065	438	13,171	5,474	1,466	479	260	155
2014	강남구	도곡2동	1,940	21,387	8,207	1,184	577	17,257	6,563	2,693	874	253	193
2014	강남구	개포1동	487	1,749	600	506	215	1,130	354	87	12	26	19
2014	강남구	개포4동	2,626	12,107	3,937	1,897	637	8,211	2,801	1,864	456	135	43
2014	강남구	일원본동	463	8,417	5,779	443	222	7,745	5,406	218	145	11	6
2014	강남구	일원1동	1,744	5,578	2,037	1,668	392	3,082	1,318	625	214	203	113
2014	강남구	일원2동	595	5,397	2,065	468	213	4,098	1,315	672	438	159	99
2014	강남구	수서동	1,484	16,742	6,261	841	324	14,738	5,470	717	391	446	76
2014	강남구	세곡동	595	3,340	1,276	523	196	2,250	884	295	166	272	30
2014	강남구	압구정동	4,230	31,628	17,064	3,156	1,499	24,715	13,450	2,776	1,737	981	378
2014	강남구	청담동	4,481	38,369	18,865	3,083	1,541	29,376	14,749	4,829	1,820	1,081	755
2014	강남구	대치2동	3,467	46,484	18,875	2,310	1,171	38,294	15,597	3,753	1,276	2,127	831
2014	강남구	개포2동	968	3,686	2,100	925	421	2,202	1,271	302	211	257	197
2014	송파구	소계	44,301	263,841	107,066	37,836	15,956	186,910	73,813	32,354	12,988	6,741	4,309
2014	송파구	풍납1동	780	2,858	1,576	766	319	1,790	994	155	119	147	144
2014	송파구	풍납2동	1,193	14,741	8,971	1,099	473	12,680	8,052	806	427	156	19
2014	송파구	거여1동	854	2,711	1,302	849	321	1,410	681	333	232	119	68
2014	송파구	거여2동	1,222	4,344	2,056	1,246	481	2,551	1,188	342	211	205	176
2014	송파구	마천1동	977	2,155	1,008	1,042	415	838	412	191	122	84	59
2014	송파구	마천2동	1,347	4,552	2,082	1,525	676	2,633	1,151	376	252	18	3
2014	송파구	방이1동	1,334	9,314	3,730	1,228	567	6,128	2,449	1,668	517	290	197
2014	송파구	방이2동	2,938	19,010	6,929	2,400	1,030	14,493	5,068	1,708	617	409	214
2014	송파구	오륜동	526	4,272	1,965	411	245	3,230	1,358	608	341	23	21
2014	송파구	오금동	3,144	15,858	6,121	2,877	854	11,335	4,528	1,383	536	263	203
2014	송파구	송파1동	2,515	11,693	4,418	2,213	798	5,861	2,460	3,245	930	374	230
2014	송파구	송파2동	930	4,917	2,038	900	435	3,367	1,324	518	203	132	76
2014	송파구	석촌동	2,725	14,740	5,533	2,554	1,138	9,311	3,477	2,379	600	496	318
2014	송파구	삼전동	2,011	10,526	3,633	1,825	790	6,303	2,299	2,266	441	132	103
2014	송파구	가락본동	3,547	27,317	10,252	2,540	1,066	21,334	7,854	2,783	889	660	443
2014	송파구	가락1동	3,174	11,147	3,348	1,646	676	8,881	2,486	610	186	10	-
2014	송파구	가락2동	1,848	9,289	4,114	1,531	674	6,824	2,935	837	437	97	68
2014	송파구	문정1동	1,430	6,905	2,608	1,138	491	4,654	1,680	934	347	179	90
2014	송파구	문정2동	2,321	11,342	4,061	1,731	722	8,287	2,662	1,179	634	145	43
2014	송파구	장지동	1,496	11,576	3,657	1,263	477	9,576	2,764	672	380	65	36
2014	송파구	잠실본동	2,997	16,789	6,663	2,900	1,263	10,883	4,205	2,568	933	438	262
2014	송파구	잠실4동	498	1,858	1,134	499	257	1,077	665	244	181	38	31
2014	송파구	잠실6동	2,126	31,733	11,631	1,593	628	24,816	8,300	3,193	1,280	2,131	1,423
2014	송파구	잠실7동	192	961	546	184	106	631	364	125	70	21	6
2014	송파구	잠실2동	777	3,907	2,169	656	363	2,660	1,420	505	329	86	57
2014	송파구	잠실3동	1,399	9,326	5,521	1,220	691	5,357	3,037	2,726	1,774	23	19
2014	강동구	소계	30,481	139,346	63,587	30,990	12,761	81,763	36,084	19,170	9,094	7,423	5,648
2014	강동구	강일동	814	16,663	3,874	737	287	13,306	2,870	2,201	429	419	288
2014	강동구	상일동	1,252	5,661	2,864	1,257	434	3,487	1,875	704	424	213	131
2014	강동구	명일1동	1,693	5,847	3,353	1,834	885	2,923	1,754	921	619	169	95
2014	강동구	명일2동	1,272	4,817	2,749	1,284	651	2,266	1,264	868	571	399	263
2014	강동구	고덕1동	591	2,121	1,049	631	267	1,107	619	349	136	34	27
2014	강동구	고덕2동	1,929	3,491	1,078	1,949	309	1,306	652	188	87	48	30
2014	강동구	암사2동	812	4,176	2,374	862	376	2,182	1,249	1,052	678	80	71
2014	강동구	암사3동	604	2,033	1,016	609	237	1,156	618	219	124	49	37
2014	강동구	천호1동	1,558	5,121	2,587	1,622	618	2,380	1,297	889	478	230	194
2014	강동구	천호3동	1,852	7,352	3,336	1,921	848	4,076	1,676	925	455	430	357
2014	강동구	성내1동	2,197	15,914	6,479	1,857	734	10,229	4,155	2,993	1,052	835	538
2014	강동구	성내2동	2,003	7,415	3,793	2,043	891	3,423	1,544	967	477	982	881
2014	강동구	성내3동	2,394	10,167	4,780	2,520	1,112	5,849	2,628	1,244	666	554	374
2014	강동구	둔촌1동	430	1,379	623	450	223	822	336	54	41	53	23
2014	강동구	둔촌2동	1,639	8,993	4,485	1,648	692	6,572	3,303	475	279	298	211
2014	강동구	암사1동	1,933	5,286	2,454	2,103	859	2,110	1,031	1,020	533	53	31
2014	강동구	천호2동	3,629	14,302	7,486	3,704	1,676	8,166	4,249	1,744	1,002	688	559
2014	강동구	길동	3,879	18,608	9,207	3,959	1,662	10,403	4,964	2,357	1,043	1,889	1,538
