인구이동연,인구이동월,인구이동구,구별이동 ,구인구,비율
2014,9,종로구,-150,"165,344",-0.09%
2014,9,중구,-128,"136,227",-0.09%
2014,9,용산구,-440,"249,914",-0.18%
2014,9,성동구,-611,"303,891",-0.20%
2014,9,광진구,-677,"377,375",-0.18%
2014,9,동대문구,960,"376,319",0.26%
2014,9,중랑구,-151,"423,411",-0.04%
2014,9,성북구,"-1,042","475,961",-0.22%
2014,9,강북구,-428,"338,410",-0.13%
2014,9,도봉구,-580,"355,712",-0.16%
2014,9,노원구,-437,"586,056",-0.07%
2014,9,은평구,-514,"503,243",-0.10%
2014,9,서대문구,-212,"320,861",-0.07%
2014,9,마포구,-314,"395,830",-0.08%
2014,9,양천구,-605,"490,708",-0.12%
2014,9,강서구,"1,818","591,653",0.31%
2014,9,구로구,-334,"457,131",-0.07%
2014,9,금천구,-201,"258,030",-0.08%
2014,9,영등포구,-619,"421,436",-0.15%
2014,9,동작구,-734,"419,261",-0.18%
2014,9,관악구,-662,"531,960",-0.12%
2014,9,서초구,836,"454,288",0.18%
2014,9,강남구,993,"583,446",0.17%
2014,9,송파구,"-1,087","671,794",-0.16%
2014,9,강동구,-807,"481,332",-0.17%
2014,10,종로구,-313,"165,344",-0.19%
2014,10,중구,-202,"136,227",-0.15%
2014,10,용산구,-635,"249,914",-0.25%
2014,10,성동구,-920,"303,891",-0.30%
2014,10,광진구,-897,"377,375",-0.24%
2014,10,동대문구,864,"376,319",0.23%
2014,10,중랑구,-216,"423,411",-0.05%
2014,10,성북구,"-1,390","475,961",-0.29%
2014,10,강북구,-617,"338,410",-0.18%
2014,10,도봉구,-567,"355,712",-0.16%
2014,10,노원구,-706,"586,056",-0.12%
2014,10,은평구,-516,"503,243",-0.10%
2014,10,서대문구,"-1,077","320,861",-0.34%
2014,10,마포구,"1,718","395,830",0.43%
2014,10,양천구,-663,"490,708",-0.14%
2014,10,강서구,"1,461","591,653",0.25%
2014,10,구로구,-902,"457,131",-0.20%
2014,10,금천구,-363,"258,030",-0.14%
2014,10,영등포구,-777,"421,436",-0.18%
2014,10,동작구,-983,"419,261",-0.23%
2014,10,관악구,-860,"531,960",-0.16%
2014,10,서초구,973,"454,288",0.21%
2014,10,강남구,"1,178","583,446",0.20%
2014,10,송파구,"-1,787","671,794",-0.27%
2014,10,강동구,-925,"481,332",-0.19%
2014,11,종로구,-350,"165,344",-0.21%
2014,11,중구,-362,"136,227",-0.27%
2014,11,용산구,-685,"249,914",-0.27%
2014,11,성동구,-574,"303,891",-0.19%
2014,11,광진구,-850,"377,375",-0.23%
2014,11,동대문구,248,"376,319",0.07%
2014,11,중랑구,-160,"423,411",-0.04%
2014,11,성북구,"-1,129","475,961",-0.24%
2014,11,강북구,-352,"338,410",-0.10%
2014,11,도봉구,-470,"355,712",-0.13%
2014,11,노원구,"-1,040","586,056",-0.18%
2014,11,은평구,-666,"503,243",-0.13%
2014,11,서대문구,-863,"320,861",-0.27%
2014,11,마포구,"2,106","395,830",0.53%
2014,11,양천구,-329,"490,708",-0.07%
2014,11,강서구,719,"591,653",0.12%
2014,11,구로구,-597,"457,131",-0.13%
2014,11,금천구,-289,"258,030",-0.11%
2014,11,영등포구,-850,"421,436",-0.20%
2014,11,동작구,-799,"419,261",-0.19%
2014,11,관악구,-947,"531,960",-0.18%
2014,11,서초구,-148,"454,288",-0.03%
2014,11,강남구,"1,255","583,446",0.22%
2014,11,송파구,"-1,149","671,794",-0.17%
2014,11,강동구,-887,"481,332",-0.18%
2014,12,종로구,-443,"165,344",-0.27%
2014,12,중구,-425,"136,227",-0.31%
2014,12,용산구,-496,"249,914",-0.20%
2014,12,성동구,-758,"303,891",-0.25%
2014,12,광진구,-691,"377,375",-0.18%
2014,12,동대문구,-187,"376,319",-0.05%
