연도,구,분류,입주량
18,중구,수요,646
19,중구,수요,640
20,중구,수요,637
21,중구,수요,636
22,중구,수요,634
13,성동구,수요,1663
14,성동구,수요,1632
15,성동구,수요,1609
16,성동구,수요,1602
17,성동구,수요,1594
18,성동구,수요,1584
19,성동구,수요,1534
20,성동구,수요,1528
21,성동구,수요,1525
22,성동구,수요,1522
13,광진구,수요,2049
14,광진구,수요,2003
15,광진구,수요,1953
16,광진구,수요,1912
17,광진구,수요,1871
18,광진구,수요,1828
19,광진구,수요,1785
20,광진구,수요,1777
21,광진구,수요,1774
22,광진구,수요,1770
13,동대문구,수요,2023
14,동대문구,수요,2005
15,동대문구,수요,1952
16,동대문구,수요,1990
17,동대문구,수요,1834
18,동대문구,수요,1789
19,동대문구,수요,1754
20,동대문구,수요,1746
21,동대문구,수요,1743
22,동대문구,수요,1739
13,중랑구,수요,2315
14,중랑구,수요,2309
15,중랑구,수요,2243
16,중랑구,수요,2200
17,중랑구,수요,2135
18,중랑구,수요,2072
19,중랑구,수요,2018
20,중랑구,수요,2010
21,중랑구,수요,2006
22,중랑구,수요,2002
13,성북구,수요,2647
14,성북구,수요,2572
15,성북구,수요,2489
16,성북구,수요,2410
17,성북구,수요,2322
18,성북구,수요,2240
19,성북구,수요,2235
20,성북구,수요,2225
21,성북구,수요,2221
22,성북구,수요,2216
13,강북구,수요,1881
14,강북구,수요,1847
15,강북구,수요,1793
16,강북구,수요,1751
17,강북구,수요,1697
18,강북구,수요,1640
19,강북구,수요,1589
20,강북구,수요,1583
21,강북구,수요,1579
22,강북구,수요,1576
13,도봉구,수요,1992
14,도봉구,수요,1950
15,도봉구,수요,1903
16,도봉구,수요,1864
17,도봉구,수요,1800
18,도봉구,수요,1745
19,도봉구,수요,1697
20,도봉구,수요,1690
21,도봉구,수요,1686
22,도봉구,수요,1683
13,노원구,수요,3280
14,노원구,수요,3211
15,노원구,수요,3114
16,노원구,수요,3038
17,노원구,수요,2899
18,노원구,수요,2795
19,노원구,수요,2709
20,노원구,수요,2697
21,노원구,수요,2692
22,노원구,수요,2687
13,은평구,수요,2798
14,은평구,수요,2748
15,은평구,수요,2698
16,은평구,수요,2630
17,은평구,수요,2546
18,은평구,수요,2484
19,은평구,수요,2438
20,은평구,수요,2427
21,은평구,수요,2422
22,은평구,수요,2418
13,서대문구,수요,1745
14,서대문구,수요,1711
15,서대문구,수요,1691
16,서대문구,수요,1681
17,서대문구,수요,1636
18,서대문구,수요,1595
19,서대문구,수요,1569
20,서대문구,수요,1563
21,서대문구,수요,1559
22,서대문구,수요,1556
13,마포구,수요,2121
14,마포구,수요,2125
15,마포구,수요,2101
16,마포구,수요,2033
17,마포구,수요,1961
18,마포구,수요,1928
19,마포구,수요,1891
20,마포구,수요,1883
21,마포구,수요,1879
