날짜,구,지수
20170421,용산구,7.01
20170422,용산구,6.95
20170423,용산구,26.93
20170424,용산구,24.91
20170425,용산구,11.47
20170426,용산구,8.61
20170427,용산구,8.30
20170428,용산구,7.42
20170429,용산구,11.05
20170430,용산구,17.02
20170501,용산구,15.41
20170502,용산구,11.00
20170503,용산구,9.08
20170504,용산구,8.20
20170505,용산구,9.50
20170506,용산구,10.79
20170507,용산구,11.21
20170508,용산구,11.16
20170509,용산구,11.62
20170510,용산구,9.13
20170511,용산구,9.86
20170512,용산구,10.79
20170513,용산구,11.16
20170514,용산구,13.70
20170515,용산구,9.91
20170516,용산구,10.95
20170517,용산구,8.82
20170518,용산구,10.79
20170519,용산구,10.07
20170520,용산구,9.76
20170521,용산구,14.63
20170522,용산구,12.82
20170523,용산구,11.88
20170524,용산구,11.21
20170525,용산구,10.22
20170526,용산구,10.53
20170527,용산구,11.42
20170528,용산구,13.28
20170529,용산구,12.51
20170530,용산구,11.21
20170531,용산구,11.42
20170601,용산구,10.22
20170602,용산구,10.43
20170603,용산구,10.12
20170604,용산구,10.85
20170605,용산구,15.20
20170606,용산구,15.88
20170607,용산구,15.15
20170608,용산구,10.74
20170609,용산구,11.47
20170610,용산구,12.09
20170611,용산구,13.03
20170612,용산구,11.47
20170613,용산구,11.05
20170614,용산구,11.83
20170615,용산구,11.16
20170616,용산구,10.22
20170617,용산구,11.78
20170618,용산구,20.19
20170619,용산구,14.43
20170620,용산구,11.16
20170621,용산구,10.38
20170622,용산구,9.86
20170623,용산구,8.98
20170624,용산구,8.67
20170625,용산구,11.26
20170626,용산구,11.83
20170627,용산구,15.46
20170628,용산구,12.66
20170629,용산구,11.78
20170630,용산구,13.44
20170701,용산구,11.88
20170702,용산구,16.29
20170703,용산구,13.28
20170704,용산구,11.68
20170705,용산구,12.71
20170706,용산구,11.52
20170707,용산구,10.02
20170708,용산구,12.04
20170709,용산구,12.51
20170710,용산구,10.69
20170711,용산구,12.20
20170712,용산구,11.78
20170713,용산구,13.28
20170714,용산구,12.04
20170715,용산구,9.50
20170716,용산구,11.73
20170717,용산구,12.51
20170718,용산구,14.06
20170719,용산구,12.45
20170720,용산구,12.87
20170721,용산구,11.16
20170722,용산구,12.30
20170723,용산구,14.58
20170724,용산구,14.01
20170725,용산구,12.66
20170726,용산구,11.05
20170727,용산구,11.99
20170728,용산구,11.05
20170729,용산구,10.90
20170730,용산구,14.01
20170731,용산구,13.60
20170801,용산구,11.99
20170802,용산구,12.56
20170803,용산구,12.25
20170804,용산구,9.24
20170805,용산구,11.78
20170806,용산구,12.40
20170807,용산구,11.73
20170808,용산구,10.12
20170809,용산구,11.99
20170810,용산구,9.96
20170811,용산구,9.03
20170812,용산구,10.90
20170813,용산구,13.65
20170814,용산구,11.31
20170815,용산구,12.25
20170816,용산구,9.76
20170817,용산구,8.41
20170818,용산구,11.11
20170819,용산구,10.22
20170820,용산구,10.53
20170821,용산구,9.08
20170822,용산구,11.11
20170823,용산구,12.04
20170824,용산구,10.90
20170825,용산구,10.12
20170826,용산구,10.17
20170827,용산구,12.30
20170828,용산구,10.59
20170829,용산구,10.64
20170830,용산구,9.65
20170831,용산구,17.18
20170901,용산구,12.35
20170902,용산구,12.30
20170903,용산구,13.18
20170904,용산구,9.55
20170905,용산구,11.83
20170906,용산구,9.24
20170907,용산구,9.39
20170908,용산구,10.48
20170909,용산구,9.96
20170910,용산구,12.51
20170911,용산구,12.04
20170912,용산구,9.86
20170913,용산구,9.76
20170914,용산구,9.50
20170915,용산구,9.13
20170916,용산구,9.70
20170917,용산구,11.42
20170918,용산구,11.47
20170919,용산구,11.16
20170920,용산구,10.12
20170921,용산구,11.57
20170922,용산구,8.98
20170923,용산구,9.29
20170924,용산구,10.85
20170925,용산구,9.39
20170926,용산구,8.41
20170927,용산구,11.78
20170928,용산구,8.56
20170929,용산구,6.59
20170930,용산구,9.03
20171001,용산구,8.20
20171002,용산구,10.38
20171003,용산구,8.82
20171004,용산구,10.07
20171005,용산구,9.55
20171006,용산구,10.85
20171007,용산구,12.71
20171008,용산구,11.88
20171009,용산구,14.69
20171010,용산구,12.77
20171011,용산구,12.35
20171012,용산구,11.57
20171013,용산구,7.27
20171014,용산구,10.69
20171015,용산구,16.87
20171016,용산구,16.71
20171017,용산구,13.54
20171018,용산구,10.69
20171019,용산구,12.35
20171020,용산구,11.99
20171021,용산구,11.62
20171022,용산구,14.84
20171023,용산구,13.60
20171024,용산구,13.86
20171025,용산구,10.90
20171026,용산구,13.39
20171027,용산구,12.09
20171028,용산구,14.32
20171029,용산구,12.51
20171030,용산구,13.75
20171031,용산구,12.66
20171101,용산구,11.99
20171102,용산구,11.62
20171103,용산구,12.30
20171104,용산구,10.43
20171105,용산구,14.12
20171106,용산구,12.66
20171107,용산구,13.86
20171108,용산구,11.05
20171109,용산구,12.56
20171110,용산구,10.90
20171111,용산구,13.23
20171112,용산구,13.03
20171113,용산구,13.13
20171114,용산구,14.27
20171115,용산구,13.28
20171116,용산구,13.08
20171117,용산구,12.87
20171118,용산구,10.95
20171119,용산구,13.03
20171120,용산구,14.01
20171121,용산구,13.44
20171122,용산구,11.42
20171123,용산구,12.20
20171124,용산구,10.74
20171125,용산구,12.30
20171126,용산구,18.58
20171127,용산구,18.53
20171128,용산구,15.00
20171129,용산구,13.54
20171130,용산구,11.73
20171201,용산구,10.85
20171202,용산구,12.45
20171203,용산구,13.86
20171204,용산구,13.80
20171205,용산구,12.04
20171206,용산구,11.31
20171207,용산구,9.44
20171208,용산구,9.55
20171209,용산구,11.42
20171210,용산구,15.05
20171211,용산구,15.00
20171212,용산구,13.44
20171213,용산구,13.54
20171214,용산구,11.42
20171215,용산구,10.22
20171216,용산구,13.86
20171217,용산구,14.12
20171218,용산구,12.56
20171219,용산구,13.18
20171220,용산구,12.30
20171221,용산구,13.34
20171222,용산구,13.13
20171223,용산구,15.26
20171224,용산구,12.66
20171225,용산구,25.48
20171226,용산구,26.52
20171227,용산구,17.59
20171228,용산구,15.88
20171229,용산구,20.65
20171230,용산구,22.94
20171231,용산구,19.51
20180101,용산구,19.82
20180102,용산구,27.40
20180103,용산구,19.82
20180104,용산구,19.51
20180105,용산구,17.70
20180106,용산구,30.10
20180107,용산구,25.32
20180108,용산구,21.90
20180109,용산구,18.53
20180110,용산구,17.59
20180111,용산구,18.11
20180112,용산구,18.37
20180113,용산구,19.98
20180114,용산구,25.79
20180115,용산구,23.04
20180116,용산구,19.25
20180117,용산구,17.44
20180118,용산구,19.82
20180119,용산구,20.60
20180120,용산구,22.52
20180121,용산구,25.64
20180122,용산구,19.77
20180123,용산구,19.20
20180124,용산구,17.59
20180125,용산구,100.00
20180126,용산구,31.86
20180127,용산구,32.54
20180128,용산구,34.35
20180129,용산구,27.04
20180130,용산구,28.80
20180131,용산구,22.47
20180201,용산구,24.18
20180202,용산구,22.42
20180203,용산구,21.85
20180204,용산구,25.69
20180205,용산구,19.56
20180206,용산구,20.13
20180207,용산구,18.68
20180208,용산구,18.37
20180209,용산구,17.02
20180210,용산구,21.12
20180211,용산구,24.81
20180212,용산구,18.42
20180213,용산구,18.53
20180214,용산구,16.71
20180215,용산구,16.09
20180216,용산구,18.58
20180217,용산구,17.49
20180218,용산구,18.63
20180219,용산구,20.55
20180220,용산구,18.89
20180221,용산구,16.81
20180222,용산구,16.50
20180223,용산구,15.15
20180224,용산구,16.76
20180225,용산구,18.27
20180226,용산구,15.41
20180227,용산구,16.61
20180228,용산구,15.41
20180301,용산구,15.52
20180302,용산구,14.95
20180303,용산구,14.32
20180304,용산구,17.02
20180305,용산구,14.53
20180306,용산구,10.59
20180307,용산구,10.53
20180308,용산구,14.48
20180309,용산구,11.57
20180310,용산구,14.53
20180311,용산구,17.54
20180312,용산구,13.03
20180313,용산구,17.18
20180314,용산구,14.53
20180315,용산구,14.69
20180316,용산구,15.41
20180317,용산구,16.04
20180318,용산구,16.97
20180319,용산구,16.66
20180320,용산구,13.28
20180321,용산구,15.20
20180322,용산구,14.27
20180323,용산구,11.00
20180324,용산구,10.17
20180325,용산구,12.40
20180326,용산구,13.03
20180327,용산구,11.68
20180328,용산구,13.44
20180329,용산구,10.38
20180330,용산구,11.11
20180331,용산구,11.57
20180401,용산구,14.06
20180402,용산구,12.71
20180403,용산구,11.21
20180404,용산구,10.90
20180405,용산구,10.64
20180406,용산구,11.21
20180407,용산구,12.45
20180408,용산구,14.06
20180409,용산구,9.50
20180410,용산구,13.03
20180411,용산구,9.81
20180412,용산구,9.76
20180413,용산구,9.24
20180414,용산구,9.76
20180415,용산구,11.16
20180416,용산구,11.05
20180417,용산구,16.14
20180418,용산구,13.44
20180419,용산구,11.05
20180420,용산구,9.19
20180421,용산구,12.25
20180422,용산구,11.05
20180423,용산구,12.51
20180424,용산구,10.90
20180425,용산구,9.70
20180426,용산구,8.61
20180427,용산구,8.41
20180428,용산구,9.39
20180429,용산구,10.48
20180430,용산구,10.74
20180501,용산구,12.04
20180502,용산구,10.22
20180503,용산구,9.13
20180504,용산구,9.19
20180505,용산구,9.34
20180506,용산구,10.59
20180507,용산구,13.23
20180508,용산구,10.53
20180509,용산구,8.35
20180510,용산구,8.10
20180511,용산구,10.02
20180512,용산구,10.90
20180513,용산구,11.00
20180514,용산구,11.21
20180515,용산구,12.04
20180516,용산구,9.70
20180517,용산구,8.87
20180518,용산구,10.53
20180519,용산구,9.76
20180520,용산구,11.99
20180521,용산구,10.59
20180522,용산구,14.95
20180523,용산구,11.47
20180524,용산구,11.52
20180525,용산구,8.51
20180526,용산구,9.81
20180527,용산구,11.68
20180528,용산구,9.65
20180529,용산구,12.14
20180530,용산구,11.21
20180531,용산구,10.12
20180601,용산구,8.51
20180602,용산구,8.35
20180603,용산구,17.33
20180604,용산구,12.77
20180605,용산구,8.93
20180606,용산구,12.25
20180607,용산구,11.31
20180608,용산구,9.44
20180609,용산구,11.78
20180610,용산구,12.82
20180611,용산구,11.73
