기간	컬럼1	컬럼2	합계	합계	합계	자영업주 및 무급가족	자영업주 및 무급가족	상용근로자	상용근로자	임시 및 일용근로자	임시 및 일용근로자	기타 종사자	기타 종사자
기간	컬럼1	컬럼2	사업체수	총종사자수	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자
2016	성동구	용답동	2,055	15,156	5,695	1,866	693	12,201	4,361	742	382	347	259
2016	성동구	왕십리도선동	1,906	11,693	6,295	1,914	847	6,703	3,636	1,820	732	1,256	1,080
2016	성동구	금호2.3가동	1,008	2,758	1,535	1,127	556	1,100	663	518	309	13	7
2016	성동구	옥수동	825	3,046	1,690	786	395	1,854	1,047	359	214	47	34
2016	광진구	소계	24,895	126,937	55,537	24,811	10,437	69,697	30,897	25,736	10,586	6,693	3,617
2016	광진구	화양동	2,474	15,035	7,227	2,613	1,080	8,148	3,916	3,910	2,036	364	195
2016	광진구	군자동	1,609	10,040	4,666	1,623	682	6,189	2,483	1,960	1,370	268	131
2016	광진구	중곡1동	1,639	6,476	2,549	1,706	704	3,824	1,346	705	344	241	155
2016	광진구	중곡2동	1,660	6,711	3,308	1,633	706	3,551	1,783	1,072	519	455	300
2016	광진구	중곡3동	1,347	5,601	2,483	1,497	632	2,393	1,207	1,449	559	262	85
2016	광진구	중곡4동	1,545	4,810	2,149	1,793	732	2,174	966	659	364	184	87
2016	광진구	능동	758	5,945	2,879	631	265	3,552	1,621	594	357	1,168	636
2016	광진구	구의1동	1,900	6,556	2,888	1,865	807	3,337	1,496	1,041	465	313	120
2016	광진구	구의2동	1,251	5,199	2,345	1,254	511	2,876	1,269	786	366	283	199
2016	광진구	구의3동	2,636	19,517	6,124	2,361	973	8,862	3,559	7,958	1,404	336	188
2016	광진구	광장동	1,402	12,078	5,580	1,127	504	7,612	3,615	1,330	550	2,009	911
2016	광진구	자양1동	1,736	8,527	3,604	1,788	772	5,357	2,108	1,127	534	255	190
2016	광진구	자양2동	1,524	7,659	3,283	1,507	578	4,828	2,000	1,184	587	140	118
2016	광진구	자양3동	1,356	6,395	3,484	1,188	515	3,741	2,084	1,305	803	161	82
2016	광진구	자양4동	2,058	6,388	2,968	2,225	976	3,253	1,444	656	328	254	220
2016	동대문구	소계	32,762	144,172	66,719	34,068	13,499	83,062	37,307	21,287	11,505	5,755	4,408
2016	동대문구	회기동	988	9,709	5,197	1,088	496	5,992	3,158	2,490	1,458	139	85
2016	동대문구	휘경1동	1,027	4,606	2,333	1,109	462	2,748	1,381	558	318	191	172
2016	동대문구	휘경2동	1,197	4,977	2,462	1,164	299	3,532	2,007	278	153	3	3
2016	동대문구	청량리동	1,683	8,132	3,524	1,774	757	5,486	2,243	660	354	212	170
2016	동대문구	용신동	5,820	32,819	14,630	5,740	2,154	20,788	8,695	4,251	2,172	2,040	1,609
2016	동대문구	제기동	4,739	11,977	5,391	5,503	2,400	5,278	2,276	890	485	306	230
2016	동대문구	전농1동	2,178	8,303	4,033	2,177	948	4,218	1,971	1,807	1,052	101	62
2016	동대문구	전농2동	875	4,824	2,393	885	384	2,801	1,370	1,106	618	32	21
2016	동대문구	답십리1동	2,242	10,402	4,713	2,221	771	5,925	2,640	1,510	695	746	607
2016	동대문구	답십리2동	2,055	6,059	2,391	2,118	722	3,228	1,281	583	307	130	81
2016	동대문구	장안1동	4,539	21,790	9,612	4,380	1,587	13,216	5,619	2,877	1,419	1,317	987
2016	동대문구	장안2동	3,204	11,468	5,971	3,439	1,455	5,726	2,985	1,886	1,206	417	325
2016	동대문구	이문1동	1,486	6,849	3,147	1,682	738	2,912	1,221	2,159	1,152	96	36
2016	동대문구	이문2동	729	2,257	922	788	326	1,212	460	232	116	25	20
2016	중랑구	소계	27,915	101,190	48,428	30,792	12,117	48,780	23,370	17,397	10,366	4,221	2,575
2016	중랑구	면목2동	2,053	6,620	3,058	2,424	962	2,678	1,167	1,385	894	133	35
2016	중랑구	면목4동	1,102	3,702	1,730	1,228	513	1,679	682	697	444	98	91
2016	중랑구	면목5동	873	2,976	1,217	999	373	1,462	498	473	318	42	28
2016	중랑구	면목7동	1,512	4,175	2,200	1,782	762	1,503	780	798	589	92	69
2016	중랑구	상봉1동	1,124	6,360	2,830	1,089	421	3,643	1,466	839	524	789	419
2016	중랑구	상봉2동	2,131	9,451	4,431	2,341	1,044	5,111	2,137	1,506	862	493	388
2016	중랑구	중화1동	1,061	3,715	2,129	1,125	454	1,757	1,117	504	310	329	248
2016	중랑구	중화2동	2,126	7,516	3,363	2,389	1,018	3,376	1,541	1,327	723	424	81
2016	중랑구	묵1동	1,471	5,369	2,794	1,446	579	2,808	1,546	883	506	232	163
2016	중랑구	묵2동	1,815	4,712	2,188	1,931	657	2,054	1,030	461	284	266	217
2016	중랑구	망우3동	1,107	3,728	1,897	1,279	503	1,623	825	735	516	91	53
2016	중랑구	신내1동	1,945	9,956	4,367	1,970	692	6,772	3,111	1,045	455	169	109
2016	중랑구	신내2동	1,136	6,165	3,002	1,136	474	3,547	1,782	1,295	608	187	138
2016	중랑구	면목본동	2,498	7,459	4,052	3,096	1,368	1,984	1,255	2,143	1,277	236	152
2016	중랑구	면목3.8동	2,090	7,040	3,532	2,407	1,029	2,913	1,474	1,627	954	93	75
2016	중랑구	망우본동	3,871	12,246	5,638	4,150	1,268	5,870	2,959	1,679	1,102	547	309
2016	성북구	소계	24,560	111,442	55,355	26,333	11,209	61,936	30,511	19,453	11,122	3,720	2,513
2016	성북구	돈암1동	394	1,788	932	374	147	1,055	638	286	107	73	40
2016	성북구	돈암2동	398	2,168	1,371	383	187	1,606	1,056	121	90	58	38
2016	성북구	안암동	1,462	12,928	6,014	1,364	523	9,207	4,219	2,217	1,190	140	82
2016	성북구	보문동	1,303	5,195	2,513	1,436	536	2,836	1,454	703	386	220	137
2016	성북구	정릉1동	732	2,053	1,032	764	316	942	562	292	136	55	18
2016	성북구	정릉2동	900	2,871	1,360	960	364	1,431	759	350	169	130	68
2016	성북구	정릉3동	667	4,319	1,893	703	288	2,654	1,107	923	472	39	26
2016	성북구	정릉4동	929	4,283	1,649	976	369	2,529	797	588	333	190	150
2016	성북구	길음1동	968	3,525	2,273	1,053	581	1,837	1,197	376	271	259	224
2016	성북구	길음2동	1,296	4,987	2,879	1,230	559	2,606	1,515	785	573	366	232
2016	성북구	월곡1동	1,376	5,062	2,557	1,437	575	2,769	1,409	672	426	184	147
2016	성북구	월곡2동	1,594	7,909	4,096	1,780	779	4,024	1,945	1,998	1,288	107	84
2016	성북구	장위1동	1,028	2,643	1,436	1,232	487	756	424	511	391	144	134
2016	성북구	장위2동	1,606	5,015	2,455	1,935	829	2,118	977	850	573	112	76
2016	성북구	장위3동	804	3,480	1,417	911	335	1,994	735	502	315	73	32
2016	성북구	성북동	1,107	5,286	2,759	968	443	3,596	1,842	530	340	192	134
2016	성북구	삼선동	1,849	10,526	5,320	1,930	872	6,796	3,341	1,350	789	450	318
2016	성북구	동선동	1,936	10,556	5,446	2,010	911	4,918	2,653	3,261	1,638	367	244
2016	성북구	종암동	2,048	7,309	3,640	2,369	1,066	3,809	1,959	1,043	557	88	58
2016	성북구	석관동	2,163	9,539	4,313	2,518	1,042	4,453	1,922	2,095	1,078	473	271
2016	강북구	소계	18,742	69,768	36,462	20,199	8,490	33,578	17,054	10,724	6,738	5,267	4,180
2016	강북구	번1동	1,793	8,987	5,064	1,782	772	3,829	1,857	1,441	811	1,935	1,624
2016	강북구	번2동	656	3,314	1,252	637	194	2,270	753	319	230	88	75
2016	강북구	번3동	860	2,922	1,310	846	261	1,473	722	482	326	121	1
2016	강북구	수유1동	1,449	4,878	2,575	1,644	772	2,645	1,398	395	253	194	152
2016	강북구	수유2동	1,363	4,339	2,301	1,542	654	1,854	1,117	760	393	183	137
2016	강북구	수유3동	2,399	8,658	4,793	2,676	1,227	3,664	1,901	1,370	876	948	789
2016	강북구	삼양동	1,176	3,641	2,080	1,245	510	1,654	1,015	690	528	52	27
2016	강북구	미아동	1,639	6,194	3,460	1,789	759	2,706	1,494	1,179	733	520	474
2016	강북구	송중동	1,955	7,783	4,303	2,017	823	3,863	2,198	1,331	849	572	433
2016	강북구	송천동	2,128	7,241	3,823	2,326	1,009	3,204	1,669	1,262	816	449	329
2016	강북구	삼각산동	781	2,354	1,395	845	368	1,011	679	479	334	19	14
2016	강북구	우이동	993	3,970	1,479	1,173	506	2,376	761	375	204	46	8
2016	강북구	인수동	1,550	5,487	2,627	1,677	635	3,029	1,490	641	385	140	117
2016	도봉구	소계	18,686	70,166	33,581	19,779	7,719	38,872	18,860	8,766	5,216	2,749	1,786
2016	도봉구	쌍문1동	928	3,908	2,100	939	354	2,283	1,288	516	318	170	140
2016	도봉구	쌍문2동	1,308	5,503	2,660	1,354	589	2,960	1,284	926	569	263	218
2016	도봉구	쌍문3동	975	4,078	1,970	1,088	440	2,258	1,199	580	261	152	70
2016	도봉구	쌍문4동	616	1,922	1,027	646	279	1,128	678	139	65	9	5
2016	도봉구	방학1동	2,330	10,831	5,033	2,527	1,143	6,941	3,013	1,123	714	240	163
2016	도봉구	방학2동	1,244	3,029	1,579	1,442	570	1,065	670	482	324	40	15
2016	도봉구	방학3동	871	3,127	1,526	879	307	1,696	964	286	194	266	61
2016	도봉구	창1동	1,404	3,739	1,958	1,414	458	1,881	1,220	328	168	116	112
2016	도봉구	창2동	1,398	4,457	2,163	1,583	637	2,233	1,156	473	274	168	96
2016	도봉구	창3동	969	2,242	1,201	1,109	452	727	465	297	180	109	104
2016	도봉구	창4동	1,284	7,286	3,503	1,164	457	4,202	1,930	1,144	558	776	558
2016	도봉구	창5동	2,219	7,259	3,424	2,252	654	3,746	1,952	998	640	263	178
2016	도봉구	도봉1동	1,701	6,063	2,598	1,886	803	3,029	1,067	1,061	708	87	20
2016	도봉구	도봉2동	1,439	6,722	2,839	1,496	576	4,723	1,974	413	243	90	46
2016	노원구	소계	26,271	114,999	59,673	26,557	10,635	66,145	35,009	16,322	9,667	5,975	4,362
2016	노원구	월계1동	1,444	6,011	2,438	1,535	621	2,977	1,059	1,454	717	45	41
2016	노원구	월계2동	922	3,313	1,460	920	267	2,169	1,072	184	119	40	2
2016	노원구	월계3동	965	3,371	1,568	970	349	2,103	1,014	271	181	27	24
2016	노원구	공릉2동	1,944	11,763	5,795	1,933	737	7,738	3,810	2,054	1,224	38	24
